标准号,国际标准编号,采标类型
GB/T 45651-2025,,
GB/T 45413-2025,,
GB/T 45535-2025,,
GB/T 45517-2025,,
GB/T 45518-2025,,
GB/T 38403.3-2025,,
GB/T 6148-2025,,
GB/T 45574-2025,,
GB/T 32935-2025,,
GB/T 45580-2025,,
GB/T 45582-2025,,
GB/T 45584-2025,,
GB/T 45589-2025,,
GB/T 45591-2025,,
GB/T 28108-2025,,
GB/T 45581-2025,,
GB/T 45583-2025,,
GB/T 31790-2025,,
GB/T 45586-2025,,
GB/T 45587-2025,,
GB/T 45585-2025,,
GB/T 26925-2025,,
GB/T 45482-2025,,
GB/T 45483-2025,,
GB/T 18916.8-2025,,
GB/T 45575-2025,,
GB/T 45576-2025,,
GB/T 45561.1-2025,ISO 23434-1:2021,等同采用
GB/T 45577-2025,,
GB/T 45602-2025,ISO 24045:2021,等同采用
GB/T 17435-2025,,
GB/T 13671-2025,,
GB/T 45604-2025,ISO 24061:2021,等同采用
GB/T 10841-2025,,
GB/T 11578-2025,,
GB/T 45606-2025,,
GB/T 36217-2025,ISO 13733:2020,等同采用
GB/T 45588-2025,,
GB/T 45603-2025,,
GB/T 45590-2025,,
GB/T 19405.3-2025,IEC 61760-3:2021,修改采用
GB/T 45617-2025,,
GB/T 33588.1-2025,IEC 62561-1:2023,等同采用
GB/T 45490-2025,,
GB/Z 45492-2025,,
GB/T 45494-2025,ISO 21500:2021,等同采用
GB/T 40565.2-2025,ISO 16028:2023,修改采用
GB/T 10859.1-2025,,
GB/T 22107-2025,ISO 12238:2023,修改采用
GB/T 6418.1-2025,,
GB/T 13815.1-2025,,
GB/T 22250-2025,,
GB/T 22320-2025,,
GB/T 4340.3-2025,ISO 6507-3:2018,修改采用
GB/T 22322.1-2025,,
GB/T 22321.1-2025,,
GB/T 21290-2025,,
GB/T 12008.7-2025,ISO 14899:2022,修改采用
GB/Z 45463-2025,ISO/TR 26946:2011,修改采用
GB/T 45465.1-2025,ISO 5222-1:2023,非等效采用
